,movie_id,title,genre,description
18,19,Ace Ventura: When Nature Calls (1995),Comedy,"Ace Ventura, Pet Detective, returns from a spiritual quest to investigate the disappearance of a rare white bat, the sacred animal of a tribe in Africa."
19,20,Money Train (1995),Action,"A vengeful New York City transit cop decides to steal a trainload of subway fares. His foster brother, a fellow cop, tries to protect him."
20,21,Get Shorty (1995),Action Comedy Drama,"A mobster travels to Hollywood to collect a debt, and discovers that the movie business is much the same as his current job."
21,22,Copycat (1995),Crime Drama Thriller,An agoraphobic psychologist and a female detective must work together to take down a serial killer who copies serial killers from the past.
22,23,Assassins (1995),Thriller,Professional hit-man Robert Rath wants to fulfill a few more contracts before retiring but unscrupulous ambitious newcomer hit-man Miguel Bain keeps killing Rath's targets.
23,24,Powder (1995),Drama Sci-Fi,An off the charts genius who is home schooled and shunned after his last relative dies shows the unconscious residents of his town about connection awareness and the generosity of the spirit.
24,25,Leaving Las Vegas (1995),Drama Romance,"Ben Sanderson, a Hollywood screenwriter who lost everything because of his alcoholism, arrives in Las Vegas to drink himself to death. There, he meets and forms an uneasy friendship and non-interference pact with prostitute Sera."
25,26,Othello (1995),Drama,"The Moorish General Othello is manipulated into thinking that his new wife Desdemona has been carrying on an affair with his Lieutenant Michael Cassio, when in reality, it is all part of the scheme of a bitter Ensign named Iago."
26,27,Now and Then (1995),Drama,Four 12-year-old girls grow up together during an eventful small-town summer in 1970.
27,28,Persuasion (1995),Romance,"Eight years ago, Anne Elliot rejected Frederick Wentworth, the man she loved, out of a sense of duty and obedience. Now an ignored and faded spinster, she follows her financially stricken ..."
28,29,"City of Lost Children, The (1995)",Adventure Sci-Fi,"A scientist in a surrealist society kidnaps children to steal their dreams, hoping that they slow his aging process."
29,30,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),Drama, Tanya 
30,31,Dangerous Minds (1995),Drama,An ex-Marine turned teacher struggles to connect with her students in an inner city school.
31,32,Twelve Monkeys (1995),Drama Sci-Fi,
32,33,Wings of Courage (1995),Adventure Romance,"While flying mail across the Andean mountains, Henri Guillaumet's plane has to crash-land, he must trek back to civilizatin on foot."
33,34,Babe (1995),Children's Comedy Drama,"Babe, a pig raised by sheepdogs, learns to herd sheep with a little help from Farmer Hoggett."
34,35,Carrington (1995),Drama Romance,The platonic relationship between artist Dora Carrington (Dame Emma Thompson) and writer Lytton Strachey (Jonathan Pryce) in the early twentieth century.
35,36,Dead Man Walking (1995),Drama,"A nun, while comforting a convicted killer on death row, empathizes with both the killer and his victim's families."
36,37,Across the Sea of Time (1995),Documentary,"A young Russian boy, Thomas Minton, travels to New York as a passenger on a Russian freighter. Close to Ellis Island he gets off and thus starts his journey to America the same way as all ..."
37,38,It Takes Two (1995),Comedy,"Alyssa and Amanda are two little girls who are identical, but complete strangers, that accidentally meet one day."
38,39,Clueless (1995),Comedy Romance,"Shallow, rich and socially successful Cher is at the top of her Beverly Hills high school's pecking scale. Seeing herself as a matchmaker, Cher first coaxes two teachers into dating each other."
39,40,"Cry, the Beloved Country (1995)",Drama,"A South African preacher goes to search for his wayward son, who has committed a crime in the big city."
40,41,Richard III (1995),Drama War,The classic Shakespearean play about the murderously scheming 15th-century king is reimagined in an alternative setting of 1930s England as clouds of fascism gather.
41,42,Dead Presidents (1995),Action Crime Drama,"A Vietnam vet adjusts to life after the war while trying to support his family, but the chance of a better life may involve crime and bloodshed."
42,43,Restoration (1995),Drama,"The exiled royal physician to King Charles II devotes himself to helping Londoners suffering from the plague, and in the process falls in love with an equally poor woman."
43,44,Mortal Kombat (1995),Action Adventure,Three unknowing martial artists are summoned to a mysterious island to compete in a tournament whose outcome will decide the fate of the world.
44,45,To Die For (1995),Comedy Drama,A beautiful but naïve aspiring television personality films a documentary on teenagers with a darker ulterior motive.
45,46,How to Make an American Quilt (1995),Drama Romance,Bride-to-be Finn Dodd hears tales of romance and sorrow from her elders as they construct a quilt.
46,47,Seven (Se7en) (1995),Crime Thriller,"Two detectives, a rookie and a veteran, hunt a serial killer who uses the seven deadly sins as his motives."
47,48,Pocahontas (1995),Animation Children's Musical Romance,An English soldier and the daughter of an Algonquin chief share a romance when English colonists invade seventeenth century Virginia.
48,49,When Night Is Falling (1995),Drama Romance,"An uptight and conservative woman, working on tenure as a literacy professor at a large urban university, finds herself strangely attracted to a free-spirited, liberal woman who works at a local carnival that comes to town."
49,50,"Usual Suspects, The (1995)",Crime Thriller,"The pool c finals arrive as The Usual Suspects (1-0) march into the finals following a victory over The Odd Couple and a forfeit from Truth About Chaos, while Silver Shamrocks (2-1) swept ..."
50,51,Guardian Angel (1994),Action Drama Thriller,"Christine McKay is a cop. She and some other cops which includes her lover are pursuing some criminals. Her lover gets killed by a woman named Nina, who is later caught. Because of his ..."
51,52,Mighty Aphrodite (1995),Comedy,"When he discovers his adopted son is a genius, a New York sportswriter seeks out the boy's birth mother: a ditzy porn star and prostitute."
52,53,Lamerica (1994),Drama,"Immediately after the fall of communism in Albania, two Italians go there to embezzle investment money by creating a fake company. As the chairman/fall guy, they pick a former political prisoner who turns out to be more than meets the eye."
53,54,"Big Green, The (1995)",Children's Comedy,"A teacher on exchange from England is placed in an underachieving Texan school, where she coaches the children in soccer, improving their self esteem and leading to unexpected success."
54,55,Georgia (1995),Drama,Sadie is desperately looking up to her older sister Georgia who is a famous C&W artist. Her desperate need to be accepted by her sister is constantly complicated by her drug and alcohol problems.
55,56,Kids of the Round Table (1995),Adventure Children's Fantasy,"Eleven-year-old Alex and his fellow homemade heroes are having a backyard blast. Battles rage, knights fight and damsels distress in a cardboard Camelot of dirt-bike steeds, aluminum foil ..."
56,57,Home for the Holidays (1995),Drama,"After losing her job, making out with her soon-to-be former boss, and finding out that her daughter plans to spend Thanksgiving with her boyfriend, Claudia Larson faces spending the holiday with her family."
57,58,"Postino, Il (The Postman) (1994)",Drama Romance,"A simple Italian postman learns to love poetry while delivering mail to a famous poet, and then uses this to woo local beauty Beatrice."
58,59,"Confessional, The (Le Confessionnal) (1995)",Drama Mystery,"The year is 1952, in Québec City, Québec. Rachel (Suzanne Clément), sixteen, unmarried, and pregnant, works in the church. Filled with shame, she unburdens her guilt to a young Priest under..."
59,60,"Indian in the Cupboard, The (1995)",Adventure Children's Fantasy,"Omri, a young boy growing up in Brooklyn, receives an odd variety of presents for his birthday: a wooden cabinet from his older brother, a set of antique keys from his mother and a tiny plastic model of an Indian from his best friend Patrick."
60,61,Eye for an Eye (1996),Drama Thriller,"When the courts fail to keep behind bars the man who raped and murdered her daughter, a woman seeks her own form of justice."
61,62,Mr. Holland's Opus (1995),Drama,A frustrated composer finds fulfillment as a high school music teacher.
62,63,Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996),Comedy,"A parody of several U.S. films about being in the 'Hood', for instance"
63,64,Two if by Sea (1996),Comedy Romance,A couple steals a Matisse painting on contract. They manage to escape the police. The sale takes place 4 days later on an island. Things don't go as planned.
64,65,Bio-Dome (1996),Comedy,"Moronic best friends get themselves locked inside the Bio-Dome, a science experiment, along with a group of environmental scientists for one year."
65,66,Lawnmower Man 2: Beyond Cyberspace (1996),Sci-Fi Thriller,"Jobe is resuscitated by Jonathan Walker. He wants Jobe to create a special computer chip that would connect all the computers in the world into one network, which Walker would control and ..."
66,67,Two Bits (1995),Drama,"Gennaro lives with his ailing grandpa, who sits outside holding tight to his last quarter. But grandpa's not ready to die, he has some unfinished business with a woman from his past and he enlists Gennaro to act as his emissary."
67,68,French Twist (Gazon maudit) (1995),Comedy Romance,"After learning of her husband's infidelities, a housewife invites an itinerant lesbian to move in with them. None of their lives will ever be the same again."
68,69,Friday (1995),Comedy,"Two homies, Smokey and Craig Jones, smoke a dope dealer's weed and try to figure a way to get the two hundred dollars they owe to the dealer by 10 p.m. that same night."
69,70,From Dusk Till Dawn (1996),Action Comedy Crime Horror Thriller,"Two criminals and their hostages unknowingly seek temporary refuge in a truck stop populated by vampires, with chaotic results."
70,71,Fair Game (1995),Action,"Max Kirkpatrick is a cop who protects Kate McQuean, a civil law attorney, from a renegade KGB team out to terminate her."
71,72,Kicking and Screaming (1995),Comedy Drama,"A bunch of guys hang around their college for months after graduation, continuing a life much like the one before graduation."
72,73,"Mis�rables, Les (1995)",Drama Musical, Tanya 
73,74,Bed of Roses (1996),Drama Romance,"Romantic drama about a young career girl who is swept off her feet by a shy florist, who fell in love with her after one glimpse through a shadowy window."
74,75,Big Bully (1996),Comedy Drama,"A writer returns to his hometown where he faces the childhood nemesis whose life he ultimately ruined, only the bully wants to relive their painful past by torturing him once again."
75,76,Screamers (1995),Sci-Fi Thriller,"A military commander stationed off planet during an interplanetary war travels through the devastated landscape to negotiate a peace treaty, but discovers that the primitive robots they built to kill enemy combatants have gained sentience."
76,77,Nico Icon (1995),Documentary,"A look into the many lives of Christa Päffgen, otherwise known as Nico; from cutie German mädchen to the first of the supermodels, to glamorous diva of the Velvet Underground, to cult item,..."
77,78,"Crossing Guard, The (1995)",Drama,
78,79,"Juror, The (1996)",Drama Thriller,A juror in a Mafia trial is forced to convince the other jurors to vote not guilty by an obsessive mob enforcer.
79,80,"White Balloon, The (Badkonake Sefid ) (1995)",Drama,Several people try to help a little girl to find the money her mom gave her to buy a goldfish with.
80,81,Things to Do in Denver when You're Dead (1995),Crime Drama Romance,Five different criminals face imminent death after botching a job quite badly.
81,82,Antonia's Line (Antonia) (1995),Drama,"A Dutch matron establishes and, for several generations, oversees a close-knit, matriarchal community where feminism and liberalism thrive."
82,83,Once Upon a Time... When We Were Colored (1995),Drama,A narrator tells the story of his childhood years in a tightly knit Afro-American community in the deep south under racial segregation.
83,84,Last Summer in the Hamptons (1995),Comedy Drama,"Filmed entirely on location in East Hampton, Long Island, ""Last Summer in the Hamptons"" concerns a large theatrical family spending the last weekend of their summer together at the ..."
84,85,Angels and Insects (1995),Drama Romance,In the 1800s a naturalist marries into a family of British country gentry.
85,86,White Squall (1996),Adventure Drama,Teenage boys discover discipline and camaraderie on an ill-fated sailing voyage.
86,87,Dunston Checks In (1996),Children's Comedy,A young boy befriends a larcenous orangutan in a luxury hotel.
87,88,Black Sheep (1996),Comedy,A gubernatorial candidate hires a wormy special assistant whose only job is to make sure the candidate's well-meaning but incompetent brother doesn't ruin the election.
88,89,Nick of Time (1995),Action Thriller,"An unimpressive, everyday man is forced into a situation where he is told to kill a politician to save his kidnapped daughter."
89,90,"Journey of August King, The (1995)",Drama,"The Journey of August King is a multi-dimensional drama about a North Carolina farmer in April 1815. August King, a widower, is on his way home as he does every year after selling his ..."
90,92,Mary Reilly (1996),Drama Thriller,"A housemaid falls in love with Dr. Henry Jekyll and his darkly mysterious counterpart, Mr. Edward Hyde."
91,93,Vampire in Brooklyn (1995),Comedy Romance,"A ship sails into Brooklyn with all its crew dead. But something gets off and the killing continues on land. The vampire is looking for a specific woman - half-human, half-vampire. Rita's the cop detective investigating the many killings."
92,94,Beautiful Girls (1996),Drama,A piano player at a crossroads in his life returns home to his friends and their own problems with life and love.
93,95,Broken Arrow (1996),Action Thriller,Terrorists steal nuclear warheads from the U.S. military but don't count on a pilot and park ranger spoiling their plans.
94,96,In the Bleak Midwinter (1995),Comedy,
95,97,"Hate (Haine, La) (1995)",Drama,24 hours in the lives of three young men in the French suburbs the day after a violent riot.
96,98,Shopping (1994),Action Thriller,"You've run out of options, no school, no job. Steal a car, smash a shop with a heavy car and reap the proceeds! This movie is about underground England. The causes, the benefits, and the result of a life of 'crash and carry.'"
97,99,Heidi Fleiss: Hollywood Madam (1995),Documentary,"A documentary crew from the BBC arrives in L.A. intent on interviewing Heidi Fleiss, a year after her arrest for running a brothel but before her trial. Several months elapse before the ..."
98,100,City Hall (1996),Drama Thriller,"The accidental shooting of a boy in New York leads to an investigation by the Deputy Mayor, and unexpectedly far-reaching consequences."
99,101,Bottle Rocket (1996),Comedy,Three friends plan to pull off a simple robbery and go on the run.
100,102,Mr. Wrong (1996),Comedy,"A single and lonely woman finds the seemingly perfect man to date, but soon regrets it when his deranged and possessive other personality emerges and worst still, she cannot convince anyone else of his Jekyll and Hyde true nature."
101,103,Unforgettable (1996),Thriller,"A medical examiner, who was suspected of murdering his wife, is trying an experimental drug to retrieve his wife's and others' memory and maybe find the killer and the mass murderer in a related present case."
102,104,Happy Gilmore (1996),Comedy,A rejected hockey player puts his skills to the golf course to save his grandmother's house.
103,105,"Bridges of Madison County, The (1995)",Drama Romance,Photographer Robert Kincaid (
104,106,Nobody Loves Me (Keiner liebt mich) (1994),Comedy Drama,"On the brink of her 30th birthday, Fanny feels the door to marital happiness closing up on her. She is obsessed with death, even visits evening classes on dying and so it seems fitting, ..."
105,107,Muppet Treasure Island (1996),Adventure Children's Comedy Musical,The Muppets' twist on the classic tale.
106,108,Catwalk (1995),Documentary,"A camera follows model Christy Turlington through the spring fashion shows in Milan, Paris, and New York one year in the early 1990s, probably 1992. She and others dash from one designer's ..."
107,109,Headless Body in Topless Bar (1995),Comedy,"Late one night, in a seedy topless bar, a group of men watch a stripper dance over their malted beverages. But, one of them is an ex-con who's about to put the group on a collision course ..."
108,110,Braveheart (1995),Action Drama War,Scottish warrior William Wallace leads his countrymen in a rebellion to free his homeland from the tyranny of King Edward I of England.
109,111,Taxi Driver (1976),Drama Thriller,"A mentally unstable veteran works as a nighttime taxi driver in New York City, where the perceived decadence and sleaze fuels his urge for violent action by attempting to liberate a presidential campaign worker and an underage prostitute."
110,112,Rumble in the Bronx (1995),Action Adventure Crime,A young man visiting and helping his uncle in New York City finds himself forced to fight a street gang and the mob with his martial art skills.
111,113,Before and After (1996),Drama Mystery,Two parents deal with the effects when their son is accused of murdering his girlfriend.
112,114,Margaret's Museum (1995),Drama,"Margaret MacNiel, a girl living in a Cape Breton coal mining town, finds her life changing when she meets Neil Currie, a cheerful bagpipe-playing dishwasher. Unfortunately, neither of them are able to escape the industry around them."
113,115,Happiness Is in the Field (1995),Comedy,"Francis, the boss of a small plumbing supply company, is harassed by tax collectors, striking employees, and an impossible wife and daughter. His only joy is sharing lunch with his friend ..."
114,116,Anne Frank Remembered (1995),Documentary,"Using previously unreleased archival material in addition to contemporary interviews, this academy award-winning documentary tells the story of the Frank family and presents the first ..."
115,117,"Young Poisoner's Handbook, The (1995)",Crime,"This film is based on a true story about a British teenager who allegedly poisoned family, friends, and co-workers. Graham is highly intelligent, but completely amoral. He becomes ..."
116,118,If Lucy Fell (1996),Comedy Romance,"Two NYC roomies have a pact to jump off Brooklyn Bridge, if they haven't found life partners before she's 30. That's less than a month away."
117,119,"Steal Big, Steal Little (1995)",Comedy,"Ruben and Robby are twin brothers, adopted by Mona, one of the wealthiest - and most eccentric - women in Santa Barbara. Ruben is devoted to Mona, but Robby is more devoted to her money. So..."
118,120,Race the Sun (1996),Drama,"A bunch of high school misfits in Hawaii, introduced by their new teacher, attend a science fair in which they draw up inspiration to build their own solar car and win a trip to compete in the 1990 World Solar Challenge in Australia."
119,121,"Boys of St. Vincent, The (1993)",Drama, Tanya 
120,122,Boomerang (1992),Comedy Romance,A successful executive and womanizer finds his lifestyle choices have turned back on him when his new female boss turns out to be an even bigger deviant than he is.
121,123,Chungking Express (1994),Drama Mystery Romance,"Two melancholy Hong Kong policemen fall in love: one with a mysterious female underworld figure, the other with a beautiful and ethereal server at a late-night restaurant he frequents."
122,124,"Star Maker, The (Uomo delle stelle, L') (1995)",Drama, Tanya 
123,125,Flirting With Disaster (1996),Comedy,"A young man, his wife, and his incompetent case worker travel across country to find his birth parents."
124,126,"NeverEnding Story III, The (1994)",Adventure Children's Fantasy,A young boy must restore order when a group of bullies steal the magical book that acts as a portal between Earth and the imaginary world of Fantasia.
125,127,"Silence of the Palace, The (Saimt el Qusur) (1994)",Drama, Tanya 
126,128,Jupiter's Wife (1994),Documentary,"Michel Negroponte, a documentary filmmaker, meets Maggie one day in Central Park. Maggie claims to be married to the god Jupiter and the daughter of actor Robert Ryan. Michel gets to know ..."
127,129,Pie in the Sky (1995),Comedy Romance,A whimsical saga of a young man whose two life-consuming passions are unraveling traffic gridlock and an avant-garde dancer. A romantic comedy.
128,130,Angela (1995),Drama,The ten year-old Angela and her little sister Ellie move to an old house in the countryside with her parents Mae and Andrew. Their mother has mental illness and has just left an institution...
129,131,Frankie Starlight (1995),Drama Romance,"A writer with dwarfism shares the story of his unconventional, though not altogether bad, upbringing as his mother struggled to raise him in the mid 20th century, with the help of a surrogate father."
130,132,Jade (1995),Thriller,"A bright assistant D.A. investigates a gruesome hatchet murder and hides a clue he found at the crime scene. Under professional threats and an attempt on his life, he goes on heartbroken because evidence point to the woman he still loves."
131,133,Nueba Yol (1995),Comedy Drama,"The humble and hardworking Orodoto Balbuena finally gets an opportunity of realizing his lifelong dream of reaching New York and living the ""American Dream"", but soon finds out that things aren't as pretty as he thought."
132,134,Sonic Outlaws (1995),Documentary,"Within days after the release of Negativland's clever parody of U2 and Casey Kasem, recording industry giant Island Records descended upon the band with a battery of lawyers intent on ..."
133,135,Down Periscope (1996),Comedy,"Lt. Cmdr. Tom Dodge is assigned as Captain to the USS Stingray, an old diesel driven submarine that has seen better days."
134,136,From the Journals of Jean Seberg (1995),Documentary,"Mark Rappaport's creative bio-pic about actress Jean Seberg is presented in a first-person, autobiographical format (with Seberg played by Mary Beth Hurt). He seamlessly interweaves cinema,..."
135,137,Man of the Year (1995),Documentary,"Mockumentary look at Playgirl Magazine centerfold and 1992 Man of the Year, Dirk Shafer, who kept it a secret from the magazine that he is gay. Most of the film is a fictionalized retelling..."
136,138,"Neon Bible, The (1995)",Drama,"While on a train, a teenage boy thinks about his life and the flamboyant aunt whose friendship acted as an emotional shield from his troubled family. This film evokes the haunting quality ..."
137,139,Target (1995),Action Drama,
138,140,Up Close and Personal (1996),Drama Romance,
139,141,"Birdcage, The (1996)",Comedy,A gay cabaret owner and his drag queen companion agree to put up a false straight front so that their son can introduce them to his fiancée's right-wing moralistic parents.
140,142,Shadows (Cienie) (1988),Drama,"During the Second World War, tens of thousands of blonde, blue-eyed Polish children were snatched from their parents and given to German families. Lebensborn was part of Hitler's plan to ..."
141,143,Gospa (1995),Drama,"In 1981 in Medjugorje (BA), a group of kids claim that Virgin Mary appeared to them on a hill. The local priest believes them and spreads the word. Religious tourism blossoms. The communist government is concerned and arrests the priest."
142,144,"Brothers McMullen, The (1995)",Comedy,
143,145,Bad Boys (1995),Action,Two hip detectives protect a witness to a murder while investigating a case of stolen heroin from the evidence storage room from their police precinct.
144,146,"Amazing Panda Adventure, The (1995)",Adventure Children's,A young American boy visiting in China helps his zoologist father rescue a panda cub from unscrupulous poachers while his panda reserve is threatened with closure from officious bureaucrats.
145,147,"Basketball Diaries, The (1995)",Drama,A teenager finds his dreams of becoming a basketball star threatened after he free falls into the harrowing world of drug addiction.
146,148,"Awfully Big Adventure, An (1995)",Drama,"Set right after World War II, a naive teenage girl joins a shabby theatre troupe in Liverpool. During a winter production of Peter Pan, the play quickly turns into a dark metaphor for youth..."
147,149,Amateur (1994),Crime Drama Thriller,"An amnesiac wakes up on an NYC alley. He meets Isabelle, an ex nun now erotic writer, at a diner and follows her home. She helps him find his identity. Then there's Sofia, the porn star."
148,150,Apollo 13 (1995),Drama,NASA must devise a strategy to return Apollo 13 to Earth safely after the spacecraft undergoes massive internal damage putting the lives of the three astronauts on board in jeopardy.
149,151,Rob Roy (1995),Drama Romance War,"In 1713 Scotland, Rob Roy MacGregor is wronged by a nobleman and his nephew, becomes an outlaw in search of revenge while fleeing the Redcoats, and faces charges of being a Jacobite."
150,152,"Addiction, The (1995)",Horror,
151,153,Batman Forever (1995),Action Adventure Comedy Crime,"Batman must battle former district attorney Harvey Dent, who is now Two-Face and Edward Nygma, The Riddler with help from an amorous psychologist and a young circus acrobat who becomes his sidekick, Robin."
152,154,Belle de jour (1967),Drama,A frigid young housewife decides to spend her midweek afternoons as a prostitute.
153,155,Beyond Rangoon (1995),Drama War,"Laura is trying to pick up the pieces of her life after the murder of her husband and son, and goes on vacation with her sister to Burma. After losing her passport at a political rally, she..."
154,156,Blue in the Face (1995),Comedy,"Brooklyn Cigar Store is a neighborhood hangout in Brooklyn with Auggie Wren/H.Keitel as center. Some people are interviewed about Brooklyn, spiced up with statistics on Brooklyn."
155,157,Canadian Bacon (1994),Comedy War,"The U.S. President, low in the opinion polls, gets talked into raising his popularity by trying to start a cold war against Canada."
156,158,Casper (1995),Adventure Children's,An afterlife therapist and his daughter meet a friendly young ghost when they move into a crumbling mansion in order to rid the premises of wicked spirits.
157,159,Clockers (1995),Drama,"Young drug pushers in the projects of Brooklyn live hard dangerous lives, trapped between their drug bosses and the detectives out to stop them."
158,160,Congo (1995),Action Adventure Mystery Sci-Fi,"When an expedition to the African Congo ends in disaster, a new team is assembled to find out what went wrong."
159,161,Crimson Tide (1995),Drama Thriller War,"On a U.S. nuclear missile sub, a young First Officer stages a mutiny to prevent his trigger happy Captain from launching his missiles before confirming his orders to do so."
160,162,Crumb (1994),Documentary,An intimate portrait of controversial cartoonist Robert Crumb and his traumatized family.
161,163,Desperado (1995),Action Romance Thriller,Former musician and gunslinger El Mariachi arrives at a small Mexican border town after being away for a long time. His past quickly catches up with him and he soon gets entangled with the local drug kingpin Bucho and his gang.
162,164,Devil in a Blue Dress (1995),Crime Film-Noir Mystery Thriller,"An African-American man is hired to find a woman, and gets mixed up in a murderous political scandal."
163,165,Die Hard: With a Vengeance (1995),Action Thriller,"John McClane and a Harlem store owner are targeted by German terrorist Simon Gruber in New York City, where he plans to rob the Federal Reserve Building."
164,166,"Doom Generation, The (1995)",Comedy Drama,"Jordan White and Amy Blue, two troubled teens, pick up an adolescent drifter, Xavier Red. Together, the threesome embark on a sex-and-violence-filled journey through an America of psychos and quickie marts."
165,167,Feast of July (1995),Drama,"After an abandoned young woman in late 19th Century England is taken in by a rural couple with three handsome sons, tragic consequences result."
166,168,First Knight (1995),Action Adventure Drama Romance,"Lancelot falls in love with Guinevere, who is due to be married to King Arthur. Meanwhile, a violent warlord tries to seize power from Arthur and his Knights of the Round Table."
167,169,Free Willy 2: The Adventure Home (1995),Adventure Children's Drama,Teenager Jesse becomes reunited with Willy two years after the whale's jump to freedom as the teenager tries to rescue the killer whale and other orcas from an oil spill.
168,170,Hackers (1995),Action Crime Thriller,Hackers are blamed for making a virus that will capsize five oil tankers.
169,171,Jeffrey (1995),Comedy,"Jeffrey, a young gay man in New York, decides that sex is too much and decides to become celibate. He immediately meets the man of his dreams and must decide whether or not love is worth ..."
170,172,Johnny Mnemonic (1995),Action Sci-Fi Thriller,"A data courier, literally carrying a data package inside his head, must deliver it before he dies from the burden or is killed by the Yakuza."
171,173,Judge Dredd (1995),Action Adventure Sci-Fi,"In a dystopian future, Joseph Dredd, the most famous Judge (a police officer with instant field judiciary powers), is convicted for a crime he did not commit and must face his murderous counterpart."
172,174,Jury Duty (1995),Comedy,Jobless loser Tommy Collins is sequestered to be a juror in a serial killer trial. He does everything he can to prolong the trial and deliberations to take full advantage of the free lodging and food.
173,175,Kids (1995),Drama,"A day in the life of a group of teens as they travel around New York City skating, drinking, smoking and deflowering virgins."
174,176,Living in Oblivion (1995),Comedy,This ultimate tribute to all independent filmmakers takes place during one day on the set of a non-budget movie.
175,177,Lord of Illusions (1995),Horror,"A private detective gets more than he bargains for when he encounters Philip Swan, a performer whose amazing illusions captive the world, but they are not really what everyone thinks."
176,178,Love & Human Remains (1993),Comedy,"Murphy is an American living in Paris who enters a highly sexually and emotionally charged relationship with Electra. Unaware of the effect it will have on their relationship, they invite their pretty neighbor into their bed."
177,179,Mad Love (1995),Drama Romance,The wild and sexy story of two passionate young people who take to the road for the incredible adventure of their lives.
178,180,Mallrats (1995),Comedy,"Both dumped by their girlfriends, two best friends seek refuge in the local mall."
179,181,Mighty Morphin Power Rangers: The Movie (1995),Action Children's,"A giant egg is unearthed at a construction site and soon opened, releasing the terrible Ivan Ooze, who wreaks vengeance on Zordon for imprisoning him millennia ago. With Zordon dying and their powers lost, the Rangers head to a distant planet to find the mystic warrior Dulcea."
180,182,Moonlight and Valentino (1995),Drama Romance,A young widow still grieving over the death of her husband finds herself being comforted by a local housepainter.
181,183,Mute Witness (1994),Thriller,"A mute make-up artist working on a slasher movie being shot in Moscow, is locked in the studio after hours. While there, she witnesses a brutal murder, and must escape capture."
182,184,Nadja (1994),Drama,"This ultra-hip, post-modern vampire tale is set in contemporary New York City. Members of a dysfunctional family of vampires are trying to come to terms with each other, in the wake of ..."
183,185,"Net, The (1995)",Sci-Fi Thriller,"A computer programmer stumbles upon a conspiracy, putting her life and the lives of those around her in great danger."
184,186,Nine Months (1995),Comedy,"When he finds out his longtime girlfriend is pregnant, a commitment-phobe realizes he might have to change his lifestyle for better or much, much worse."
185,187,Party Girl (1995),Comedy,"Party girl Mary gets bailed out of jail by her librarian godmother. She starts working at the library, slowly fills her empty brain."
186,188,"Prophecy, The (1995)",Horror,"At the scene of a bizarre murder, L.A. homicide detective Thomas Dagget discovers a lethal heavenly prophecy now being fulfilled on earth. In his fight to stop the forces of evil, he finds an unlikely ally in an elementary school teacher."
187,189,Reckless (1995),Comedy,"On Christmas Eve, a regretful husband admits to his high-spirited wife that he has hired a contract killer to take her out. She immediately flees. A nice couple offers her shelter, but everyone have dark secrets in this wacky movie."
188,190,Safe (1995),Thriller,An affluent and unexceptional homemaker in the suburbs develops multiple chemical sensitivity.
189,191,"Scarlet Letter, The (1995)",Drama,
